id,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,geometry
30,11220,8600000US11220,11220,4519576,0,"POLYGON ((-74.03585910791371 40.6407893381295, -74.03351683155289 40.6443027526705, -74.03264399999999 40.6438, -74.03049799999999 40.6453, -74.028255 40.644053, -74.02606 40.646261, -74.02929399999999 40.64874, -74.025468 40.646833, -74.02406499999999 40.647598, -74.025637 40.649753, -74.024406 40.650922, -74.020877 40.648743, -74.019256 40.646853, -74.01343 40.652453, -74.01120499999999 40.651112, -74.01054999999999 40.651634, -74.006241 40.649022, -74.00682399999999 40.648465, -74.002415 40.645809, -74.002111 40.646099, -73.999931 40.644306, -73.99773399999999 40.64341, -73.99917599999999 40.642026, -74.003253 40.638104, -74.000525 40.636456, -74.00124 40.635978, -74.003838 40.637546, -74.00796 40.633584, -74.00702299999999 40.63211, -74.00853699999999 40.633028, -74.01097 40.630682, -74.01270199999999 40.629024, -74.012142 40.628684, -74.012846 40.628656, -74.016048 40.631033, -74.026039 40.635741, -74.03679799999999 40.639381, -74.03585910791371 40.6407893381295))"
31,10013,8600000US10013,10013,1425086,0,"POLYGON ((-74.016222 40.721275, -74.01254 40.721503, -74.011978 40.724333, -74.011235 40.724266, -74.00962299999999 40.727557, -74.005545 40.727157, -74.00372999999999 40.72625, -74.004575 40.724173, -73.99526 40.719867, -73.994969 40.720627, -73.994035 40.720323, -73.99480799999999 40.718457, -73.996059 40.716232, -73.99750399999999 40.71406899999999, -73.99858399999999 40.713468, -74.000455 40.714365, -74.002115 40.715159, -74.004533 40.71628, -74.006249 40.717076, -74.00793999999999 40.714927, -74.012731 40.717114, -74.012292 40.719039, -74.013046 40.719086, -74.012669 40.720856, -74.016222 40.721275))"
32,10075,8600000US10075,10075,477128,0,"POLYGON ((-73.96323 40.777677, -73.95679799999999 40.774967, -73.94700999999999 40.770814, -73.947502 40.770121, -73.94797299999999 40.769512, -73.94820199999999 40.769544, -73.949454 40.770085, -73.94993599999999 40.769469, -73.951398 40.770073, -73.951858 40.769441, -73.953649 40.771024, -73.96147499999999 40.774324, -73.965148 40.775045, -73.96323 40.777677))"
33,10037,8600000US10037,10037,666608,0,"POLYGON ((-73.94180299999999 40.812815, -73.942477 40.81391199999999, -73.940855 40.814106, -73.937181 40.819144, -73.934264 40.81791399999999, -73.934338 40.818757, -73.93382299999999 40.819491, -73.933831 40.814192, -73.93427 40.809327, -73.93321899999999 40.807255, -73.93491899999999 40.806679, -73.936725 40.808224, -73.939949 40.809582, -73.940404 40.808958, -73.943398 40.81063, -73.94180299999999 40.812815))"
34,10471,8600000US10471,10471,6659943,28258,"POLYGON ((-73.91976099999999 40.89113, -73.91815 40.894112, -73.91512399999999 40.903125, -73.914294 40.904239, -73.91158799999999 40.914029, -73.910516 40.915282, -73.89725299999999 40.911655, -73.89663399999999 40.911324, -73.886124 40.908016, -73.88651 40.907065, -73.886166 40.902568, -73.886342 40.900117, -73.88496499999999 40.898786, -73.88466699999999 40.896081, -73.887637 40.889768, -73.89478 40.887174, -73.89570999999999 40.885781, -73.89984 40.886537, -73.902367 40.887254, -73.90285899999999 40.889165, -73.905513 40.890195, -73.906263 40.887571, -73.909064 40.889508, -73.912904 40.88974899999999, -73.916344 40.891287, -73.916687 40.88690099999999, -73.913978 40.886374, -73.916037 40.884867, -73.918761 40.88557, -73.918696 40.886885, -73.92095599999999 40.887288, -73.91976099999999 40.89113))"
35,11204,8600000US11204,11204,4113158,0,"POLYGON ((-73.99728499999999 40.619712, -73.99254999999999 40.624274, -73.981432 40.634955, -73.978973 40.633476, -73.980142 40.632354, -73.978155 40.630282, -73.977249 40.630707, -73.97919 40.629378, -73.976578 40.627574, -73.976235 40.625976, -73.97608 40.621569, -73.976947 40.621602, -73.975296 40.620913, -73.972994 40.608814, -73.974031 40.608702, -73.98725499999999 40.607245, -73.98797499999999 40.608075, -73.993968 40.612173, -74.00082399999999 40.616314, -73.99728499999999 40.619712))"
36,11239,8600000US11239,11239,1598726,27109,"MULTIPOLYGON (((-73.876751 40.652615, -73.86960599999999 40.656335, -73.86821599999999 40.656922, -73.86668899999999 40.652926, -73.87153599999999 40.649521, -73.873339 40.649317, -73.87518899999999 40.650275, -73.876751 40.652615)), ((-73.889994 40.651138, -73.88221299999999 40.654498, -73.87843599999999 40.649327, -73.876104 40.646215, -73.874892 40.645095, -73.876012 40.643419, -73.87881399999999 40.637942, -73.879541 40.638862, -73.88073899999999 40.639613, -73.88958699999999 40.648111, -73.89125199999999 40.650026, -73.889994 40.651138)))"
37,11233,8600000US11233,11233,3493430,0,"POLYGON ((-73.93822299999999 40.683894, -73.93223499999999 40.684907, -73.918065 40.686608, -73.917996 40.686965, -73.91804599999999 40.687213, -73.91604599999999 40.686072, -73.90404599999999 40.67922, -73.90346599999999 40.678897, -73.90468799999999 40.677943, -73.903475 40.675507, -73.914873 40.670533, -73.92004399999999 40.669137, -73.91838199999999 40.669002, -73.922753 40.667098, -73.92438899999999 40.666385, -73.925539 40.668493, -73.92499599999999 40.674736, -73.93045699999999 40.675818, -73.929058 40.679277, -73.93435099999999 40.679564, -73.937398 40.67973, -73.93822299999999 40.683894))"
38,11421,8600000US11421,11421,3341502,0,"POLYGON ((-73.869314 40.699355, -73.86915599999999 40.702893, -73.863254 40.703392, -73.85814999999999 40.702898, -73.85857899999999 40.701238, -73.857028 40.70117, -73.855293 40.702596, -73.85215099999999 40.702251, -73.85166199999999 40.700479, -73.84797499999999 40.696853, -73.844272 40.689372, -73.86629499999999 40.683189, -73.868717 40.694622, -73.868917 40.69515, -73.870802 40.697877, -73.869314 40.699355))"
39,11693,8600000US11693,11693,2553905,0,"MULTIPOLYGON (((-73.819368 40.58583, -73.81913299999999 40.588048, -73.818001 40.588601, -73.814847 40.590531, -73.81082499999999 40.592088, -73.811408 40.592871, -73.80966099999999 40.593561, -73.80595799999999 40.591936, -73.804164 40.591846, -73.80803 40.593669, -73.80606 40.595558, -73.802438 40.59264, -73.80314299999999 40.590658, -73.80533 40.59052, -73.805144 40.588215, -73.80401599999999 40.586495, -73.8014345864318 40.585658064731, -73.80683399999999 40.584619, -73.80986593305261 40.58380334469479, -73.815495604297 40.5822888418555, -73.815702 40.583429, -73.8177 40.583203, -73.82017399999999 40.585515, -73.819368 40.58583)), ((-73.83420099999999 40.596657, -73.83158999999999 40.597942, -73.828345 40.597646, -73.826048 40.599461, -73.82430000000001 40.598332, -73.82441 40.600342, -73.82294499999999 40.602583, -73.82248299999999 40.605583, -73.820032 40.60892399999999, -73.819952 40.611006, -73.82086 40.612265, -73.82047299999999 40.610195, -73.821631 40.608496, -73.821843 40.60987799999999, -73.823825 40.61149899999999, -73.823998 40.612512, -73.820781 40.615244, -73.817571 40.614163, -73.81652699999999 40.614947, -73.814796 40.613194, -73.81615599999999 40.612942, -73.81477099999999 40.608851, -73.815708 40.60643899999999, -73.81589 40.606025, -73.816425 40.605224, -73.817392 40.605158, -73.81725399999999 40.60394, -73.81771999999999 40.602225, -73.81831099999999 40.60134, -73.81849099999999 40.59939, -73.819281 40.59753, -73.82051899999999 40.59622299999999, -73.820712 40.595171, -73.821358 40.594691, -73.824803 40.595083, -73.83232599999999 40.594619, -73.834847 40.595543, -73.83420099999999 40.596657)))"
